entity,score,index,word,start,end
LABEL_1,0.50032777,131,do,328,330
LABEL_0,0.5551978,132,Brasil,331,337
LABEL_1,0.50284684,133,de,338,340
LABEL_0,0.5381693,134,1988,341,345
LABEL_0,0.6214306,135,;,345,346
LABEL_1,0.558907,136,2,347,348
LABEL_0,0.530995,137,.,348,349
LABEL_1,0.58501166,138,2,349,350
LABEL_0,0.54576135,139,.,350,351
LABEL_0,0.6411036,140,Lei,352,355
LABEL_1,0.66810423,141,n,356,357
LABEL_0,0.5098256,142,.,357,358
LABEL_1,0.5416202,143,º,358,359
LABEL_0,0.64551467,144,9,360,361
LABEL_0,0.6270827,145,.,361,362
LABEL_1,0.61829704,146,47,362,364
LABEL_1,0.51706237,147,##2,364,365
LABEL_1,0.50058043,148,",",365,366
LABEL_1,0.5574858,149,de,367,369
LABEL_0,0.565521,150,17,370,372
LABEL_1,0.56047446,151,de,373,375
LABEL_0,0.51018703,152,julho,376,381
LABEL_1,0.6666947,153,de,382,384
LABEL_1,0.5446756,154,1997,385,389
LABEL_1,0.5288658,155,",",389,390
LABEL_0,0.70338255,156,Lei,391,394
LABEL_1,0.5003617,157,Geral,395,400
LABEL_0,0.5398025,158,de,401,403
LABEL_0,0.56996936,159,Tele,404,408
LABEL_0,0.63499475,160,##comunicações,408,420
LABEL_0,0.5687283,161,(,421,422
LABEL_0,0.6264404,162,LG,422,424
LABEL_0,0.5159159,163,##T,424,425
LABEL_1,0.56715614,164,),425,426
LABEL_0,0.63257104,165,;,426,427
LABEL_1,0.5752384,166,2,428,429
LABEL_0,0.5353982,167,.,429,430
LABEL_1,0.57113785,168,3,430,431
LABEL_0,0.5539785,169,.,431,432
LABEL_0,0.6272176,170,Lei,433,436
LABEL_1,0.6390504,171,n,437,438
LABEL_0,0.50277954,172,.,438,439
LABEL_0,0.5002016,173,º,439,440
LABEL_0,0.6539314,174,13,441,443
LABEL_0,0.71364224,175,.,443,444
LABEL_0,0.5354591,176,70,444,446
LABEL_0,0.59018534,177,##9,446,447
LABEL_0,0.5373334,178,",",447,448
LABEL_1,0.53138274,179,de,449,451
LABEL_0,0.5877914,180,14,452,454
LABEL_1,0.5282567,181,de,455,457
LABEL_1,0.52598864,182,agosto,458,464
LABEL_1,0.6231877,183,de,465,467
LABEL_0,0.5283572,184,2018,468,472
LABEL_1,0.5315876,185,",",472,473
LABEL_0,0.72270447,186,Lei,474,477
LABEL_0,0.56070244,187,Geral,478,483
LABEL_0,0.6460682,188,de,484,486
LABEL_0,0.6029194,189,Proteção,487,495
LABEL_0,0.58625376,190,de,496,498
LABEL_0,0.50690734,191,Dados,499,504
LABEL_1,0.6118824,192,Pessoa,505,511
LABEL_0,0.5807664,193,##is,511,513
LABEL_0,0.55554926,194,(,514,515
LABEL_0,0.5802513,195,LG,515,517
LABEL_0,0.6336128,196,##P,517,518
LABEL_0,0.5375473,197,##D,518,519
LABEL_1,0.5471624,198,),519,520
LABEL_0,0.630625,199,;,520,521
LABEL_1,0.56815135,200,2,522,523
LABEL_0,0.54402983,201,.,523,524
LABEL_1,0.5457716,202,4,524,525
LABEL_0,0.64528036,203,.,525,526
LABEL_0,0.5468638,204,Reg,527,530
LABEL_0,0.63526124,205,##ula,530,533
LABEL_0,0.70043594,206,##mento,533,538
LABEL_0,0.50305855,207,dos,539,542
LABEL_1,0.5173527,208,Serviços,543,551
LABEL_0,0.51368856,209,de,552,554
LABEL_0,0.54022413,210,Tele,555,559
LABEL_0,0.6042964,211,##comunicações,559,571
LABEL_1,0.5011405,212,",",571,572
LABEL_1,0.5360692,213,aprovado,573,581
LABEL_1,0.5683556,214,pela,582,586
LABEL_0,0.5816908,215,Resolução,587,596
LABEL_1,0.67827684,216,n,597,598
LABEL_0,0.51227576,217,.,598,599
LABEL_1,0.5729418,218,º,599,600
LABEL_0,0.6402898,219,73,601,603
LABEL_1,0.5007767,220,",",603,604
LABEL_1,0.5483261,221,de,605,607
LABEL_1,0.55745363,222,25,608,610
LABEL_1,0.5615979,223,de,611,613
LABEL_0,0.5210363,224,novembro,614,622
LABEL_1,0.66056937,225,de,623,625
LABEL_1,0.6171111,226,1998,626,630
LABEL_0,0.61747235,227,;,630,631
LABEL_1,0.56791323,228,2,632,633
LABEL_0,0.5477197,229,.,633,634
LABEL_1,0.5837246,230,5,634,635
LABEL_0,0.653565,231,.,635,636
LABEL_0,0.5872834,232,Reg,637,640
LABEL_0,0.6600889,233,##ula,640,643
LABEL_0,0.66305834,234,##mento,643,648
LABEL_0,0.5054115,235,Geral,650,655
LABEL_0,0.5165609,236,de,657,659
LABEL_0,0.5634302,237,Direitos,661,669
LABEL_0,0.56160414,238,do,671,673
LABEL_0,0.50974274,239,Cons,675,679
LABEL_1,0.51060003,240,##umi,679,682
LABEL_0,0.53114134,241,##dor,682,685
LABEL_0,0.5137875,242,de,687,689
LABEL_0,0.52237415,243,Serviços,691,699
LABEL_1,0.5019052,244,de,701,703
LABEL_0,0.55289483,245,Tele,705,709
LABEL_0,0.6218051,246,##comunicações,709,721
LABEL_1,0.50197977,247,",",721,722
LABEL_1,0.5433579,248,aprovado,723,731
LABEL_1,0.5702914,249,pela,732,736
LABEL_0,0.59275323,250,Resolução,737,746
LABEL_1,0.65924525,251,n,747,748
LABEL_0,0.5320614,252,.,748,749
LABEL_1,0.5787601,253,º,749,750
LABEL_0,0.6188074,254,63,751,753
LABEL_0,0.51080686,255,##2,753,754
LABEL_1,0.5262799,256,",",754,755
LABEL_1,0.5663346,257,de,756,758
LABEL_0,0.5697777,258,07,759,761
LABEL_1,0.57537514,259,de,762,764
LABEL_1,0.5204562,260,março,765,770
LABEL_1,0.6498775,261,de,771,773
LABEL_1,0.60776156,262,2014,774,778
LABEL_0,0.6200276,263,;,778,779
LABEL_1,0.56747174,264,2,780,781
LABEL_0,0.55185163,265,.,781,782
LABEL_1,0.5189163,266,6,782,783
LABEL_0,0.6541779,267,.,783,784
LABEL_0,0.6634232,268,Regimento,785,794
LABEL_0,0.6191934,269,Inter,795,800
LABEL_0,0.71024823,270,##no,800,802
LABEL_1,0.5167511,271,da,803,805
LABEL_0,0.5551278,272,Ana,806,809
LABEL_0,0.50667685,273,##tel,809,812
LABEL_0,0.51288575,274,",",812,813
LABEL_1,0.500301,275,aprovado,814,822
LABEL_1,0.54103696,276,pela,823,827
LABEL_0,0.62214,277,Resolução,828,837
LABEL_1,0.63246715,278,n,838,839
LABEL_0,0.5372288,279,.,839,840
LABEL_1,0.56249046,280,º,840,841
LABEL_0,0.65453446,281,61,842,844
LABEL_0,0.54458314,282,##2,844,845
LABEL_0,0.50778455,283,",",845,846
LABEL_1,0.52271265,284,de,847,849
LABEL_0,0.5355043,285,29,850,852
LABEL_1,0.5261413,286,de,853,855
LABEL_0,0.5253165,287,abril,856,861
LABEL_1,0.6093061,288,de,862,864
LABEL_1,0.62245613,289,2013,865,869
LABEL_0,0.51442516,290,(,870,871
LABEL_0,0.55865246,291,R,871,872
LABEL_0,0.5455395,292,##IA,872,874
LABEL_1,0.5896797,293,),874,875
LABEL_0,0.5908788,294,;,875,876
LABEL_1,0.5463233,295,2,877,878
LABEL_0,0.53277314,296,.,878,879
LABEL_1,0.5365798,297,7,879,880
LABEL_0,0.56662905,298,.,880,881
LABEL_0,0.5175585,299,Porta,882,887
LABEL_0,0.67501515,300,##ria,887,890
LABEL_1,0.6511645,301,n,891,892
LABEL_0,0.5104875,302,.,892,893
LABEL_1,0.59122044,303,º,893,894
LABEL_0,0.6611862,304,64,895,897
LABEL_0,0.5334657,305,##2,897,898
LABEL_1,0.5019924,306,",",898,899
LABEL_1,0.55818766,307,de,900,902
LABEL_1,0.59196484,308,26,903,905
LABEL_1,0.53883594,309,de,906,908
LABEL_0,0.5206946,310,julho,909,914
LABEL_1,0.6562563,311,de,915,917
LABEL_1,0.6359267,312,2013,918,922
LABEL_1,0.5737576,313,",",922,923
LABEL_1,0.5415902,314,modiﬁcada,924,933
LABEL_1,0.5750957,315,pela,934,938
LABEL_1,0.50288165,316,Porta,939,944
LABEL_0,0.61028236,317,##ria,944,947
LABEL_1,0.6322257,318,n,948,949
LABEL_0,0.526386,319,.,949,950
LABEL_1,0.56004167,320,º,950,951
LABEL_0,0.6332891,321,73,952,954
LABEL_0,0.59645027,322,##9,954,955
LABEL_1,0.53113884,323,",",955,956
LABEL_1,0.5498992,324,de,957,959
LABEL_0,0.55318683,325,11,960,962
LABEL_1,0.5623228,326,de,963,965
LABEL_0,0.510778,327,setembro,966,974
LABEL_1,0.65683347,328,de,975,977
LABEL_1,0.6417699,329,2013,978,982
LABEL_0,0.5545462,330,.,982,983
LABEL_0,0.5201759,331,3,984,985
LABEL_0,0.5579301,332,.,985,986
LABEL_0,0.60408556,333,AN,987,989
LABEL_0,0.5884642,334,##Á,989,990
LABEL_0,0.6153719,335,##L,990,991
LABEL_0,0.6065834,336,##IS,991,993
LABEL_0,0.562407,337,##E,993,994
LABEL_0,0.6166941,338,Do,995,997
LABEL_1,0.5037343,1,IN,0,2
LABEL_0,0.5349833,2,##F,2,3
LABEL_0,0.6567351,3,##OR,3,5
LABEL_0,0.6400241,4,##ME,5,7
LABEL_0,0.5614171,5,Nº,8,10
LABEL_1,0.5987743,6,38,11,13
LABEL_0,0.5376305,7,##6,13,14
LABEL_0,0.56660694,8,/,14,15
LABEL_0,0.5649172,9,202,15,18
LABEL_0,0.6521149,10,##2,18,19
LABEL_0,0.6199658,11,/,19,20
LABEL_0,0.5185671,12,CO,20,22
LABEL_0,0.5359607,13,##GE,22,24
LABEL_0,0.52347916,14,/,24,25
LABEL_0,0.50837564,15,SC,25,27
LABEL_0,0.52853525,16,##O,27,28
LABEL_0,0.6044537,17,PR,29,31
LABEL_0,0.5659969,18,##OC,31,33
LABEL_0,0.66895694,19,##ES,33,35
LABEL_0,0.6990734,20,##SO,35,37
LABEL_0,0.5987824,21,Nº,38,40
LABEL_1,0.5347491,22,53,41,43
LABEL_0,0.5860532,23,##500,43,46
LABEL_0,0.60719746,24,.,46,47
LABEL_0,0.52382725,25,01,47,49
LABEL_0,0.5697478,26,##46,49,51
LABEL_1,0.5496699,27,##48,51,53
LABEL_0,0.51673347,28,/,53,54
LABEL_0,0.5748143,29,202,54,57
LABEL_0,0.6143965,30,##2,57,58
LABEL_0,0.5215939,31,-,58,59
LABEL_1,0.52011335,32,11,59,61
LABEL_0,0.5624552,33,IN,62,64
LABEL_0,0.6251536,34,##TE,64,66
LABEL_0,0.59180754,35,##RE,66,68
LABEL_0,0.71155685,36,##SS,68,70
LABEL_0,0.64281565,37,##AD,70,72
LABEL_0,0.62796044,38,##O,72,73
LABEL_0,0.61510324,39,:,73,74
LABEL_0,0.60004747,40,AS,75,77
LABEL_0,0.7070781,41,##SO,77,79
LABEL_0,0.70873076,42,##CI,79,81
LABEL_0,0.61798364,43,##A,81,82
LABEL_0,0.6441234,44,##Ç,82,83
LABEL_0,0.6231291,45,##ÃO,83,85
LABEL_0,0.58185434,46,BR,86,88
LABEL_0,0.5583586,47,##AS,88,90
LABEL_0,0.6738481,48,##IL,90,92
LABEL_0,0.55255544,49,##EI,92,94
LABEL_0,0.6152819,50,##RA,94,96
LABEL_0,0.6063292,51,DE,97,99
LABEL_1,0.5426757,52,R,100,101
LABEL_0,0.6569019,53,##EC,101,103
LABEL_0,0.6583934,54,##UR,103,105
LABEL_0,0.73312336,55,##SO,105,107
LABEL_0,0.67731774,56,##S,107,108
LABEL_0,0.6702134,57,E,109,110
LABEL_0,0.7284499,58,##M,110,111
LABEL_1,0.5170703,59,T,112,113
LABEL_0,0.6313414,60,##EL,113,115
LABEL_0,0.71251553,61,##EC,115,117
LABEL_0,0.6827599,62,##OM,117,119
LABEL_0,0.68792385,63,##UN,119,121
LABEL_0,0.6753422,64,##IC,121,123
LABEL_0,0.64362913,65,##A,123,124
LABEL_0,0.7168302,66,##Ç,124,125
LABEL_0,0.6771365,67,##Õ,125,126
LABEL_0,0.71779656,68,##ES,126,128
LABEL_1,0.5056874,69,-,129,130
LABEL_0,0.58583635,70,AB,131,133
LABEL_0,0.597171,71,##R,133,134
LABEL_1,0.5312635,72,T,135,136
LABEL_0,0.5880297,73,##EL,136,138
LABEL_0,0.6324663,74,##EC,138,140
LABEL_0,0.5788568,75,##OM,140,142
LABEL_0,0.54051787,76,1,143,144
LABEL_0,0.59280986,77,.,144,145
LABEL_1,0.5478104,78,AS,146,148
LABEL_0,0.701335,79,##S,148,149
LABEL_0,0.57823837,80,##UN,149,151
LABEL_0,0.63144225,81,##TO,151,153
LABEL_0,0.5395258,82,1,154,155
LABEL_1,0.52972114,83,.,155,156
LABEL_1,0.5313774,84,1,156,157
LABEL_1,0.5046643,85,.,157,158
LABEL_1,0.6049567,86,Processo,159,167
LABEL_0,0.53301936,87,da,168,170
LABEL_1,0.5810734,88,Ac,171,173
LABEL_1,0.51227295,89,##om,173,175
LABEL_1,0.61778754,90,##panha,175,180
LABEL_1,0.55287033,91,##mento,180,185
LABEL_1,0.5422341,92,e,186,187
LABEL_1,0.6700921,93,Controle,188,196
LABEL_0,0.5259946,94,.,196,197
LABEL_1,0.62386113,95,Al,198,200
LABEL_1,0.58999634,96,##tera,200,204
LABEL_0,0.5225574,97,##ções,204,208
LABEL_0,0.5794888,98,contra,209,215
LABEL_0,0.56650317,99,##tuais,215,220
LABEL_1,0.5148327,100,em,221,223
LABEL_1,0.5818112,101,função,224,230
LABEL_0,0.5102632,102,da,231,233
LABEL_1,0.5797254,103,Lei,234,237
LABEL_1,0.67862004,104,Geral,238,243
LABEL_1,0.74083114,105,de,244,246
LABEL_1,0.6994212,106,Proteção,247,255
LABEL_1,0.6489388,107,de,256,258
LABEL_1,0.6695109,108,Dados,259,264
LABEL_1,0.56662506,109,-,265,266
LABEL_1,0.5172401,110,LG,267,269
LABEL_1,0.64110935,111,##P,269,270
LABEL_0,0.5490736,112,##D,270,271
LABEL_0,0.5513309,113,.,271,272
LABEL_0,0.6454814,114,2,273,274
LABEL_0,0.5622797,115,.,274,275
LABEL_1,0.5240668,116,R,276,277
LABEL_0,0.5293302,117,##EF,277,279
LABEL_0,0.5611567,118,##ER,279,281
LABEL_0,0.520128,119,##Ê,281,282
LABEL_0,0.63375825,120,##N,282,283
LABEL_0,0.6268724,121,##CI,283,285
LABEL_0,0.62175417,122,##AS,285,287
LABEL_0,0.6237858,123,2,288,289
LABEL_0,0.5524477,124,.,289,290
LABEL_1,0.5117269,125,1,290,291
LABEL_0,0.54957885,126,.,291,292
LABEL_1,0.60335034,127,ConsƟtuição,293,304
LABEL_1,0.5215218,128,da,305,307
LABEL_1,0.55751216,129,República,308,317
LABEL_1,0.5529669,130,FederaƟva,318,327
LABEL_1,0.6014682,131,do,328,330
LABEL_1,0.5127475,132,Brasil,331,337
LABEL_1,0.6520814,133,de,338,340
LABEL_1,0.5804591,134,1988,341,345
LABEL_0,0.5365472,135,;,345,346
LABEL_0,0.65592194,136,2,347,348
LABEL_0,0.5698285,137,.,348,349
LABEL_0,0.59773344,138,2,349,350
LABEL_0,0.57992357,139,.,350,351
LABEL_1,0.5559234,140,Lei,352,355
LABEL_0,0.5626185,141,n,356,357
LABEL_1,0.52342254,142,.,357,358
LABEL_1,0.5004505,143,º,358,359
LABEL_1,0.5155556,144,9,360,361
LABEL_0,0.6587479,145,.,361,362
LABEL_0,0.5594553,146,47,362,364
LABEL_0,0.6330676,147,##2,364,365
LABEL_0,0.6201601,148,",",365,366
LABEL_1,0.58552843,149,de,367,369
LABEL_0,0.5150222,150,17,370,372
LABEL_1,0.60779005,151,de,373,375
LABEL_0,0.5337888,152,julho,376,381
LABEL_1,0.559504,153,de,382,384
LABEL_0,0.571513,154,1997,385,389
LABEL_0,0.6090717,155,",",389,390
LABEL_1,0.5450873,156,Lei,391,394
LABEL_1,0.62412107,157,Geral,395,400
LABEL_1,0.6174252,158,de,401,403
LABEL_1,0.61830336,159,Tele,404,408
LABEL_0,0.6911051,160,##comunicações,408,420
LABEL_0,0.54499906,161,(,421,422
LABEL_0,0.5531238,162,LG,422,424
LABEL_1,0.57217807,163,##T,424,425
LABEL_0,0.5092648,164,),425,426
LABEL_0,0.57570523,165,;,426,427
LABEL_0,0.6427228,166,2,428,429
LABEL_0,0.55689913,167,.,429,430
LABEL_0,0.69140476,168,3,430,431
LABEL_0,0.5527728,169,.,431,432
LABEL_1,0.5696133,170,Lei,433,436
LABEL_0,0.5678079,171,n,437,438
LABEL_1,0.5209635,172,.,438,439
LABEL_0,0.50480574,173,º,439,440
LABEL_0,0.70115435,174,13,441,443
LABEL_0,0.74177915,175,.,443,444
LABEL_0,0.65646815,176,70,444,446
LABEL_0,0.5600467,177,##9,446,447
LABEL_0,0.6090053,178,",",447,448
LABEL_1,0.56455284,179,de,449,451
LABEL_1,0.56832767,180,14,452,454
LABEL_1,0.5763016,181,de,455,457
LABEL_1,0.5330537,182,agosto,458,464
LABEL_1,0.50832045,183,de,465,467
LABEL_0,0.59553707,184,2018,468,472
LABEL_0,0.5891476,185,",",472,473
LABEL_1,0.5456088,186,Lei,474,477
LABEL_1,0.677607,187,Geral,478,483
LABEL_1,0.71328574,188,de,484,486
LABEL_1,0.6761075,189,Proteção,487,495
LABEL_1,0.6084604,190,de,496,498
LABEL_1,0.6808932,191,Dados,499,504
LABEL_0,0.54365206,192,Pessoa,505,511
LABEL_1,0.60726696,193,##is,511,513
LABEL_0,0.5252066,194,(,514,515
LABEL_1,0.5305972,195,LG,515,517
LABEL_1,0.6106568,196,##P,517,518
LABEL_0,0.57671106,197,##D,518,519
LABEL_0,0.5276397,198,),519,520
LABEL_0,0.57101154,199,;,520,521
LABEL_0,0.6682858,200,2,522,523
LABEL_0,0.55555856,201,.,523,524
LABEL_0,0.5983363,202,4,524,525
LABEL_0,0.50851065,203,.,525,526
LABEL_1,0.52787894,204,Reg,527,530
LABEL_1,0.62420064,205,##ula,530,533
LABEL_0,0.5376974,206,##mento,533,538
LABEL_1,0.5222954,207,dos,539,542
LABEL_1,0.54995376,208,Serviços,543,551
LABEL_1,0.51510227,209,de,552,554
LABEL_1,0.5420329,210,Tele,555,559
LABEL_0,0.7082683,211,##comunicações,559,571
LABEL_0,0.62534726,212,",",571,572
LABEL_0,0.5624155,213,aprovado,573,581
LABEL_0,0.5072165,214,pela,582,586
LABEL_0,0.5402787,215,Resolução,587,596
LABEL_0,0.5644484,216,n,597,598
LABEL_1,0.506837,217,.,598,599
LABEL_1,0.51846635,218,º,599,600
LABEL_0,0.681182,219,73,601,603
LABEL_0,0.61446804,220,",",603,604
LABEL_1,0.56972605,221,de,605,607
LABEL_1,0.55950314,222,25,608,610
LABEL_1,0.58527535,223,de,611,613
LABEL_0,0.5150068,224,novembro,614,622
LABEL_1,0.52422047,225,de,623,625
LABEL_0,0.5323437,226,1998,626,630
LABEL_0,0.57646435,227,;,630,631
LABEL_0,0.67072123,228,2,632,633
LABEL_0,0.55569184,229,.,633,634
LABEL_0,0.69662464,230,5,634,635
LABEL_0,0.5228197,231,.,635,636
LABEL_1,0.5661311,232,Reg,637,640
LABEL_1,0.6233409,233,##ula,640,643
LABEL_1,0.5158831,234,##mento,643,648
LABEL_1,0.6685901,235,Geral,650,655
LABEL_1,0.56574494,236,de,657,659
LABEL_1,0.61006683,237,Direitos,661,669
LABEL_0,0.52841944,238,do,671,673
LABEL_1,0.57130146,239,Cons,675,679
LABEL_1,0.6233274,240,##umi,679,682
LABEL_1,0.6095245,241,##dor,682,685
LABEL_1,0.58716774,242,de,687,689
LABEL_1,0.5816082,243,Serviços,691,699
LABEL_1,0.51665235,244,de,701,703
LABEL_1,0.5166094,245,Tele,705,709
LABEL_0,0.7027511,246,##comunicações,709,721
LABEL_0,0.6328417,247,",",721,722
LABEL_0,0.56699294,248,aprovado,723,731
LABEL_0,0.5261804,249,pela,732,736
LABEL_0,0.56800985,250,Resolução,737,746
LABEL_0,0.55587643,251,n,747,748
LABEL_0,0.5014534,252,.,748,749
LABEL_1,0.52722853,253,º,749,750
LABEL_0,0.560836,254,63,751,753
LABEL_0,0.51250035,255,##2,753,754
LABEL_0,0.6075824,256,",",754,755
LABEL_1,0.54232246,257,de,756,758
LABEL_1,0.6524741,258,07,759,761
LABEL_1,0.5656988,259,de,762,764
LABEL_0,0.6121932,260,março,765,770
LABEL_1,0.5298312,261,de,771,773
LABEL_0,0.5951862,262,2014,774,778
LABEL_0,0.58271646,263,;,778,779
LABEL_0,0.690726,264,2,780,781
LABEL_0,0.5499414,265,.,781,782
LABEL_0,0.73178285,266,6,782,783
LABEL_0,0.54486424,267,.,783,784
LABEL_1,0.5605288,268,Regimento,785,794
LABEL_1,0.6213088,269,Inter,795,800
LABEL_1,0.60743374,270,##no,800,802
LABEL_0,0.5502806,271,da,803,805
LABEL_1,0.60552603,272,Ana,806,809
LABEL_0,0.714558,273,##tel,809,812
LABEL_0,0.6171589,274,",",812,813
LABEL_0,0.5553807,275,aprovado,814,822
LABEL_0,0.53151137,276,pela,823,827
LABEL_0,0.57216406,277,Resolução,828,837
LABEL_0,0.5625508,278,n,838,839
LABEL_0,0.5052193,279,.,839,840
LABEL_0,0.50322145,280,º,840,841
LABEL_0,0.61521184,281,61,842,844
LABEL_0,0.5361054,282,##2,844,845
LABEL_0,0.6287497,283,",",845,846
LABEL_1,0.5357132,284,de,847,849
LABEL_1,0.53131753,285,29,850,852
LABEL_1,0.552451,286,de,853,855
LABEL_0,0.59784555,287,abril,856,861
LABEL_0,0.51452935,288,de,862,864
LABEL_0,0.6103808,289,2013,865,869
LABEL_0,0.58509105,290,(,870,871
LABEL_0,0.565919,291,R,871,872
LABEL_1,0.5730487,292,##IA,872,874
LABEL_0,0.55239743,293,),874,875
LABEL_0,0.532075,294,;,875,876
LABEL_0,0.69677097,295,2,877,878
LABEL_0,0.53332675,296,.,878,879
LABEL_0,0.6479046,297,7,879,880
LABEL_0,0.54812616,298,.,880,881
LABEL_1,0.5079452,299,Porta,882,887
LABEL_1,0.5245446,300,##ria,887,890
